antecedents,consequents,support,confidence,lift,leverage,conviction
REGENCY CAKESTAND 3 TIER,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",0.0105,0.1153,6.458,0.008892,1.1102
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,0.0174,0.3354,6.4035,0.014688,1.4259
JUMBO STORAGE BAG SUKI,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0174,0.3323,6.4035,0.014688,1.42
PARTY BUNTING,SPOTTY BUNTING,0.0117,0.1873,6.3722,0.009829,1.1943
SPOTTY BUNTING,PARTY BUNTING,0.0117,0.3967,6.3722,0.009829,1.5543
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0149,0.3295,6.3498,0.012585,1.4141
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO  BAG BAROQUE BLACK WHITE,0.0149,0.2879,6.3498,0.012585,1.3406
JUMBO BAG RED RETROSPOT,JUMBO BAG STRAWBERRY,0.0227,0.295,6.2913,0.019064,1.352
JUMBO BAG STRAWBERRY,JUMBO BAG RED RETROSPOT,0.0227,0.4834,6.2913,0.019064,1.7869
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",REGENCY CAKESTAND 3 TIER,0.0122,0.5714,6.2644,0.010261,2.1205
REGENCY CAKESTAND 3 TIER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.0122,0.1339,6.2644,0.010261,1.1299
PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.012,0.5593,6.1311,0.010001,2.062
REGENCY CAKESTAND 3 TIER,PINK REGENCY TEACUP AND SAUCER,0.012,0.131,6.1311,0.010001,1.1262
LUNCH BAG SUKI  DESIGN,JUMBO STORAGE BAG SUKI,0.0101,0.3186,6.0825,0.008412,1.3907
JUMBO STORAGE BAG SUKI,LUNCH BAG SUKI  DESIGN,0.0101,0.1922,6.0825,0.008412,1.1988
REGENCY CAKESTAND 3 TIER,GREEN REGENCY TEACUP AND SAUCER,0.0146,0.1598,5.9519,0.012131,1.1583
GREEN REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.0146,0.5429,5.9519,0.012131,1.9883
JUMBO BAG VINTAGE LEAF,JUMBO BAG RED RETROSPOT,0.0105,0.457,5.9477,0.008753,1.7001
JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE LEAF,0.0105,0.1369,5.9477,0.008753,1.132
REGENCY CAKESTAND 3 TIER,ROSES REGENCY TEACUP AND SAUCER,0.016,0.1755,5.8938,0.013293,1.1767
ROSES REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER,0.016,0.5376,5.8938,0.013293,1.9655
JUMBO BAG SPACEBOY DESIGN,JUMBO BAG RED RETROSPOT,0.0125,0.4477,5.8266,0.010357,1.6714
JUMBO BAG RED RETROSPOT,JUMBO BAG SPACEBOY DESIGN,0.0125,0.1627,5.8266,0.010357,1.161
JUMBO STORAGE BAG SKULLS,LUNCH BAG  BLACK SKULL.,0.0111,0.3559,5.772,0.009155,1.4569
LUNCH BAG  BLACK SKULL.,JUMBO STORAGE BAG SKULLS,0.0111,0.1796,5.772,0.009155,1.181
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG STRAWBERRY,0.0139,0.2678,5.7117,0.011465,1.3018
JUMBO BAG STRAWBERRY,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0139,0.2964,5.7117,0.011465,1.3475
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,0.0198,0.437,5.6872,0.016326,1.6396
JUMBO BAG RED RETROSPOT,JUMBO  BAG BAROQUE BLACK WHITE,0.0198,0.2578,5.6872,0.016326,1.2863
JUMBO STORAGE BAG SUKI,JUMBO BAG RED RETROSPOT,0.0226,0.4309,5.6079,0.018545,1.6221
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,0.0226,0.2937,5.6079,0.018545,1.3418
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG RED RETROSPOT,0.0155,0.426,5.5448,0.012723,1.6084
JUMBO BAG RED RETROSPOT,JUMBO BAG PINK VINTAGE PAISLEY,0.0155,0.202,5.5448,0.012723,1.2075
JUMBO STORAGE BAG SKULLS,JUMBO BAG RED RETROSPOT,0.0132,0.4248,5.5294,0.010827,1.6051
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SKULLS,0.0132,0.172,5.5294,0.010827,1.1702
JUMBO BAG RED RETROSPOT,JUMBO BAG OWLS,0.0111,0.1445,5.3117,0.009015,1.1372
JUMBO BAG OWLS,JUMBO BAG RED RETROSPOT,0.0111,0.4081,5.3117,0.009015,1.5597
JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0206,0.268,5.1637,0.016601,1.2952
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG RED RETROSPOT,0.0206,0.3967,5.1637,0.016601,1.5303
CANDLEHOLDER PINK HANGING HEART,WHITE HANGING HEART T-LIGHT HOLDER,0.0117,0.7337,4.858,0.00931,3.1885
WHITE HANGING HEART T-LIGHT HOLDER,CANDLEHOLDER PINK HANGING HEART,0.0117,0.0776,4.858,0.00931,1.0668
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.0355,0.7076,4.6852,0.027944,2.9038
WHITE HANGING HEART T-LIGHT HOLDER,RED HANGING HEART T-LIGHT HOLDER,0.0355,0.2352,4.6852,0.027944,1.2419
LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,0.015,0.3448,4.4877,0.011635,1.409
JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,0.015,0.1948,4.4877,0.011635,1.1881
LUNCH BAG CARS BLUE,JUMBO STORAGE BAG SUKI,0.011,0.2074,3.9588,0.008204,1.1955
JUMBO STORAGE BAG SUKI,LUNCH BAG CARS BLUE,0.011,0.2095,3.9588,0.008204,1.1981
LUNCH BAG  BLACK SKULL.,JUMBO STORAGE BAG SUKI,0.0119,0.1933,3.6895,0.008688,1.1746
JUMBO STORAGE BAG SUKI,LUNCH BAG  BLACK SKULL.,0.0119,0.2275,3.6895,0.008688,1.2147
LUNCH BAG SPACEBOY DESIGN,JUMBO STORAGE BAG SUKI,0.0103,0.1888,3.6045,0.007438,1.1682
JUMBO STORAGE BAG SUKI,LUNCH BAG SPACEBOY DESIGN,0.0103,0.1965,3.6045,0.007438,1.1767
JUMBO BAG RED RETROSPOT,LUNCH BAG CARS BLUE,0.0123,0.1602,3.0262,0.008241,1.1277
LUNCH BAG CARS BLUE,JUMBO BAG RED RETROSPOT,0.0123,0.2325,3.0262,0.008241,1.2028
WHITE HANGING HEART T-LIGHT HOLDER,HEART IVORY TRELLIS LARGE,0.0103,0.0684,2.9571,0.006835,1.0486
HEART IVORY TRELLIS LARGE,WHITE HANGING HEART T-LIGHT HOLDER,0.0103,0.4466,2.9571,0.006835,1.5342
"WOODEN FRAME ANTIQUE WHITE, WOODEN PICTURE FRAME WHITE FINISH",WHITE HANGING HEART T-LIGHT HOLDER,0.0139,0.4414,2.9222,0.009164,1.5197
WHITE HANGING HEART T-LIGHT HOLDER,"WOODEN FRAME ANTIQUE WHITE, WOODEN PICTURE FRAME WHITE FINISH",0.0139,0.0922,2.9222,0.009164,1.0668
CREAM HEART CARD HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.0154,0.4381,2.9005,0.010086,1.5108
WHITE HANGING HEART T-LIGHT HOLDER,CREAM HEART CARD HOLDER,0.0154,0.1019,2.9005,0.010086,1.0744
LUNCH BAG  BLACK SKULL.,JUMBO BAG RED RETROSPOT,0.0134,0.218,2.8374,0.008706,1.1805
JUMBO BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.,0.0134,0.175,2.8374,0.008706,1.1373
WHITE HANGING HEART T-LIGHT HOLDER,WOODEN PICTURE FRAME WHITE FINISH,0.0213,0.1413,2.7103,0.013463,1.1038
WOODEN PICTURE FRAME WHITE FINISH,WHITE HANGING HEART T-LIGHT HOLDER,0.0213,0.4093,2.7103,0.013463,1.4373
WHITE HANGING HEART T-LIGHT HOLDER,WOOD 2 DRAWER CABINET WHITE FINISH,0.0135,0.0892,2.6497,0.00839,1.061
WOOD 2 DRAWER CABINET WHITE FINISH,WHITE HANGING HEART T-LIGHT HOLDER,0.0135,0.4002,2.6497,0.00839,1.4154
ZINC METAL HEART DECORATION,WHITE HANGING HEART T-LIGHT HOLDER,0.0154,0.3955,2.6185,0.009494,1.4044
WHITE HANGING HEART T-LIGHT HOLDER,ZINC METAL HEART DECORATION,0.0154,0.1017,2.6185,0.009494,1.07
WHITE HANGING HEART T-LIGHT HOLDER,"HEART OF WICKER LARGE, HEART OF WICKER SMALL",0.0109,0.0722,2.6019,0.006718,1.0479
"HEART OF WICKER LARGE, HEART OF WICKER SMALL",WHITE HANGING HEART T-LIGHT HOLDER,0.0109,0.393,2.6019,0.006718,1.3986
WHITE HANGING HEART T-LIGHT HOLDER,WOOD S/3 CABINET ANT WHITE FINISH,0.0124,0.0823,2.5929,0.007641,1.0551
WOOD S/3 CABINET ANT WHITE FINISH,WHITE HANGING HEART T-LIGHT HOLDER,0.0124,0.3916,2.5929,0.007641,1.3954
WOODEN FRAME ANTIQUE WHITE,WHITE HANGING HEART T-LIGHT HOLDER,0.0214,0.3843,2.5441,0.012989,1.3788
WHITE HANGING HEART T-LIGHT HOLDER,WOODEN FRAME ANTIQUE WHITE,0.0214,0.1417,2.5441,0.012989,1.1002
HEART OF WICKER LARGE,WHITE HANGING HEART T-LIGHT HOLDER,0.0209,0.3745,2.4795,0.012459,1.3572
WHITE HANGING HEART T-LIGHT HOLDER,HEART OF WICKER LARGE,0.0209,0.1382,2.4795,0.012459,1.0957
WHITE HANGING HEART T-LIGHT HOLDER,LOVE BUILDING BLOCK WORD,0.0172,0.1142,2.4381,0.010171,1.076
LOVE BUILDING BLOCK WORD,WHITE HANGING HEART T-LIGHT HOLDER,0.0172,0.3682,2.4381,0.010171,1.3438
HOME BUILDING BLOCK WORD,ASSORTED COLOUR BIRD ORNAMENT,0.0112,0.1957,2.4172,0.006569,1.1426
ASSORTED COLOUR BIRD ORNAMENT,HOME BUILDING BLOCK WORD,0.0112,0.1384,2.4172,0.006569,1.0942
JUMBO BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,0.0101,0.131,2.403,0.005878,1.088
LUNCH BAG SPACEBOY DESIGN,JUMBO BAG RED RETROSPOT,0.0101,0.1846,2.403,0.005878,1.1322
HANGING HEART ZINC T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.0115,0.3308,2.1905,0.006265,1.2687
WHITE HANGING HEART T-LIGHT HOLDER,HANGING HEART ZINC T-LIGHT HOLDER,0.0115,0.0763,2.1905,0.006265,1.0449
WOOD BLACK BOARD ANT WHITE FINISH,WHITE HANGING HEART T-LIGHT HOLDER,0.0106,0.328,2.1713,0.005693,1.2632
WHITE HANGING HEART T-LIGHT HOLDER,WOOD BLACK BOARD ANT WHITE FINISH,0.0106,0.0699,2.1713,0.005693,1.0405
HOME BUILDING BLOCK WORD,WHITE HANGING HEART T-LIGHT HOLDER,0.0187,0.3273,2.1669,0.01009,1.262
WHITE HANGING HEART T-LIGHT HOLDER,HOME BUILDING BLOCK WORD,0.0187,0.1241,2.1669,0.01009,1.0763
WHITE HANGING HEART T-LIGHT HOLDER,HEART OF WICKER SMALL,0.018,0.1189,2.1287,0.009522,1.0716
HEART OF WICKER SMALL,WHITE HANGING HEART T-LIGHT HOLDER,0.018,0.3215,2.1287,0.009522,1.2513
BATHROOM METAL SIGN,WHITE HANGING HEART T-LIGHT HOLDER,0.0103,0.3078,2.0382,0.00526,1.2265
WHITE HANGING HEART T-LIGHT HOLDER,BATHROOM METAL SIGN,0.0103,0.0684,2.0382,0.00526,1.0374
HAND OVER THE CHOCOLATE   SIGN,WHITE HANGING HEART T-LIGHT HOLDER,0.0125,0.3054,2.0219,0.006335,1.2222
WHITE HANGING HEART T-LIGHT HOLDER,HAND OVER THE CHOCOLATE   SIGN,0.0125,0.083,2.0219,0.006335,1.0457
NATURAL SLATE HEART CHALKBOARD,WHITE HANGING HEART T-LIGHT HOLDER,0.0155,0.3032,2.0074,0.007757,1.2183
WHITE HANGING HEART T-LIGHT HOLDER,NATURAL SLATE HEART CHALKBOARD,0.0155,0.1023,2.0074,0.007757,1.0572
COOK WITH WINE METAL SIGN,WHITE HANGING HEART T-LIGHT HOLDER,0.0107,0.2887,1.9116,0.00511,1.1936
WHITE HANGING HEART T-LIGHT HOLDER,COOK WITH WINE METAL SIGN,0.0107,0.071,1.9116,0.00511,1.0364
PLEASE ONE PERSON METAL SIGN,WHITE HANGING HEART T-LIGHT HOLDER,0.0124,0.2877,1.9045,0.005892,1.1918
WHITE HANGING HEART T-LIGHT HOLDER,PLEASE ONE PERSON METAL SIGN,0.0124,0.0821,1.9045,0.005892,1.0425
GIN + TONIC DIET METAL SIGN,WHITE HANGING HEART T-LIGHT HOLDER,0.0124,0.2864,1.896,0.005862,1.1896
WHITE HANGING HEART T-LIGHT HOLDER,GIN + TONIC DIET METAL SIGN,0.0124,0.0821,1.896,0.005862,1.0423
WHITE HANGING HEART T-LIGHT HOLDER,STRAWBERRY CERAMIC TRINKET BOX,0.0145,0.0957,1.7846,0.006353,1.0465
STRAWBERRY CERAMIC TRINKET BOX,WHITE HANGING HEART T-LIGHT HOLDER,0.0145,0.2695,1.7846,0.006353,1.1622
VICTORIAN GLASS HANGING T-LIGHT,WHITE HANGING HEART T-LIGHT HOLDER,0.0117,0.2614,1.7307,0.00495,1.1494
WHITE HANGING HEART T-LIGHT HOLDER,VICTORIAN GLASS HANGING T-LIGHT,0.0117,0.0776,1.7307,0.00495,1.0355
WHITE HANGING HEART T-LIGHT HOLDER,ASSORTED COLOUR BIRD ORNAMENT,0.0202,0.1337,1.6519,0.007971,1.0609
ASSORTED COLOUR BIRD ORNAMENT,WHITE HANGING HEART T-LIGHT HOLDER,0.0202,0.2495,1.6519,0.007971,1.1312
ASSORTED COLOUR BIRD ORNAMENT,REGENCY CAKESTAND 3 TIER,0.012,0.1476,1.6182,0.004566,1.0662
REGENCY CAKESTAND 3 TIER,ASSORTED COLOUR BIRD ORNAMENT,0.012,0.131,1.6182,0.004566,1.0576
WHITE HANGING HEART T-LIGHT HOLDER,60 TEATIME FAIRY CAKE CASES,0.0125,0.0828,1.6093,0.004733,1.0342
60 TEATIME FAIRY CAKE CASES,WHITE HANGING HEART T-LIGHT HOLDER,0.0125,0.2431,1.6093,0.004733,1.1216
SCOTTIE DOG HOT WATER BOTTLE,WHITE HANGING HEART T-LIGHT HOLDER,0.0104,0.2335,1.5457,0.00368,1.1075
WHITE HANGING HEART T-LIGHT HOLDER,SCOTTIE DOG HOT WATER BOTTLE,0.0104,0.069,1.5457,0.00368,1.0262
WHITE HANGING HEART T-LIGHT HOLDER,REX CASH+CARRY JUMBO SHOPPER,0.0138,0.0914,1.5436,0.00486,1.0354
REX CASH+CARRY JUMBO SHOPPER,WHITE HANGING HEART T-LIGHT HOLDER,0.0138,0.2331,1.5436,0.00486,1.1071
LUNCH BAG CARS BLUE,WHITE HANGING HEART T-LIGHT HOLDER,0.012,0.2264,1.4989,0.003988,1.0974
WHITE HANGING HEART T-LIGHT HOLDER,LUNCH BAG CARS BLUE,0.012,0.0793,1.4989,0.003988,1.0287
WHITE HANGING HEART T-LIGHT HOLDER,PARTY BUNTING,0.0138,0.0914,1.4679,0.004399,1.0321
PARTY BUNTING,WHITE HANGING HEART T-LIGHT HOLDER,0.0138,0.2217,1.4679,0.004399,1.0908
LUNCH BAG  BLACK SKULL.,WHITE HANGING HEART T-LIGHT HOLDER,0.013,0.2112,1.3981,0.003708,1.0762
WHITE HANGING HEART T-LIGHT HOLDER,LUNCH BAG  BLACK SKULL.,0.013,0.0862,1.3981,0.003708,1.0269
LUNCH BAG SPACEBOY DESIGN,WHITE HANGING HEART T-LIGHT HOLDER,0.0112,0.2061,1.3644,0.003001,1.0693
WHITE HANGING HEART T-LIGHT HOLDER,LUNCH BAG SPACEBOY DESIGN,0.0112,0.0744,1.3644,0.003001,1.0215
JUMBO STORAGE BAG SUKI,WHITE HANGING HEART T-LIGHT HOLDER,0.0105,0.1996,1.3217,0.002545,1.0607
WHITE HANGING HEART T-LIGHT HOLDER,JUMBO STORAGE BAG SUKI,0.0105,0.0692,1.3217,0.002545,1.0181
WHITE HANGING HEART T-LIGHT HOLDER,JUMBO BAG RED RETROSPOT,0.0137,0.0907,1.1809,0.002099,1.0153
JUMBO BAG RED RETROSPOT,WHITE HANGING HEART T-LIGHT HOLDER,0.0137,0.1784,1.1809,0.002099,1.0333
REGENCY CAKESTAND 3 TIER,WHITE HANGING HEART T-LIGHT HOLDER,0.015,0.1648,1.0913,0.001258,1.0165
WHITE HANGING HEART T-LIGHT HOLDER,REGENCY CAKESTAND 3 TIER,0.015,0.0995,1.0913,0.001258,1.0093
